Scientific_Name,Common_Name,name,label,Indicator_Status
Arnica chamissonis,Leafy Leopardbane,Arnica chamissonis,Arnica chamissonis - Leafy Leopardbane,FACW
Arnica fulgens,Shining Leopardbane,Arnica fulgens,Arnica fulgens - Shining Leopardbane,UPL
Arnica lanceolata,Lance-Leaf Leopardbane,Arnica lanceolata,Arnica lanceolata - Lance Leaf Leopardbane,FAC
Arnica latifolia,Daffodil Leopardbane,Arnica latifolia,Arnica latifolia - Daffodil Leopardbane,FAC
Arnica longifolia,Spear-Leaf Leopardbane,Arnica longifolia,Arnica longifolia - Spear Leaf Leopardbane,FACW
Arnica mollis,Cordilleran Leopardbane,Arnica mollis,Arnica mollis - Cordilleran Leopardbane,FAC
Arnica ovata,Sticky-Leaf Leopardbane,Arnica ovata,Arnica ovata - Sticky Leaf Leopardbane,FACW
Arnoglossum ovatum,Egg-Leaf Indian-Plantain,Arnoglossum ovatum,Arnoglossum ovatum - Egg Leaf Indian Plantain,FAC
Arnoglossum plantagineum,Groove-Stem Indian-Plantain,Arnoglossum plantagineum,Arnoglossum plantagineum - Groove Stem Indian Plantain,FAC
Aronia arbutifolia,Red Chokeberry,Aronia arbutifolia,Aronia arbutifolia - Red Chokeberry,FACW
Aronia melanocarpa,Black Chokeberry,Aronia melanocarpa,Aronia melanocarpa - Black Chokeberry,OBL
Arrhenatherum elatius,Tall Oat Grass,Arrhenatherum elatius,Arrhenatherum elatius - Tall Oat Grass,FACU
Artemisia annua,Annual Wormwood,Artemisia annua,Artemisia annua - Annual Wormwood,FACU
Artemisia biennis,Biennial Wormwood,Artemisia biennis,Artemisia biennis - Biennial Wormwood,FACU
Artemisia campestris,Pacific Wormwood,Artemisia campestris,Artemisia campestris - Pacific Wormwood,UPL
Artemisia cana,Coaltown Sagebrush,Artemisia cana,Artemisia cana - Coaltown Sagebrush,FACU
Artemisia ludoviciana,White Sagebrush,Artemisia ludoviciana,Artemisia ludoviciana - White Sagebrush,UPL
Artemisia norvegica,Boreal Sagebrush,Artemisia norvegica,Artemisia norvegica - Boreal Sagebrush,FACW
Artemisia tilesii,Tilesius' Wormwood,Artemisia tilesii,Artemisia tilesii - Tilesius' Wormwood,FACU
Artemisia vulgaris,Common Wormwood,Artemisia vulgaris,Artemisia vulgaris - Common Wormwood,UPL
Arthraxon hispidus,Small Carp Grass,Arthraxon hispidus,Arthraxon hispidus - Small Carp Grass,FACU
Arundinaria gigantea,Giant Cane,Arundinaria gigantea,Arundinaria gigantea - Giant Cane,FACW
Arundo donax,Giant-Reed,Arundo donax,Arundo donax - Giant Reed,FAC
Asarum canadense,Canadian Wild Ginger,Asarum canadense,Asarum canadense - Canadian Wild Ginger,FACU
Asclepias curassavica,Bloodflower,Asclepias curassavica,Asclepias curassavica - Bloodflower,FAC
Asclepias exaltata,Poke Milkweed,Asclepias exaltata,Asclepias exaltata - Poke Milkweed,FAC
Asclepias incarnata,Swamp Milkweed,Asclepias incarnata,Asclepias incarnata - Swamp Milkweed,FACW
Asclepias longifolia,Long-Leaf Milkweed,Asclepias longifolia,Asclepias longifolia - Long Leaf Milkweed,FAC
Asclepias oenotheroides,Zizotes Milkweed,Asclepias oenotheroides,Asclepias oenotheroides - Zizotes Milkweed,FACU
Asclepias perennis,Aquatic Milkweed,Asclepias perennis,Asclepias perennis - Aquatic Milkweed,OBL
Asclepias prostrata,Prostrate Milkweed,Asclepias prostrata,Asclepias prostrata - Prostrate Milkweed,FAC
Asclepias pumila,Low Milkweed,Asclepias pumila,Asclepias pumila - Low Milkweed,UPL
Asclepias purpurascens,Purple Milkweed,Asclepias purpurascens,Asclepias purpurascens - Purple Milkweed,FACU
