Scientific_Name,Common_Name,name,label,Indicator_Status
Asclepias pumila,Low Milkweed,Asclepias pumila,Asclepias pumila - Low Milkweed,UPL
Asclepias speciosa,Showy Milkweed,Asclepias speciosa,Asclepias speciosa - Showy Milkweed,FAC
Asclepias subverticillata,Horsetail Milkweed,Asclepias subverticillata,Asclepias subverticillata - Horsetail Milkweed,FACU
Asclepias syriaca,Common Milkweed,Asclepias syriaca,Asclepias syriaca - Common Milkweed,FACU
Asclepias texana,Texas Milkweed,Asclepias texana,Asclepias texana - Texas Milkweed,FACU
Asclepias verticillata,Whorled Milkweed,Asclepias verticillata,Asclepias verticillata - Whorled Milkweed,FACU
Asparagus officinalis,Asparagus,Asparagus officinalis,Asparagus officinalis - Asparagus,FACU
Asperugo procumbens,German-Madwort,Asperugo procumbens,Asperugo procumbens - German-Madwort,UPL
Asplenium adiantum-nigrum,Black Spleenwort,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum - Black Spleenwort,FACU
Asplenium platyneuron,Ebony Spleenwort,Asplenium platyneuron,Asplenium platyneuron - Ebony Spleenwort,FACU
